pair_id,severity,true_peak,global_max,argmax_dist_px,pixels_above_true,true_site_is_argmax
pair_0000,0,0.20565573871135712,0.20565573871135712,0.2892766841624055,0,1
pair_0001,0,0.1785103678703308,0.2806607782840729,649.5293330042916,30003,0
pair_0002,0,0.568719744682312,0.568719744682312,0.8896044064639294,0,1
pair_0003,0,0.610428512096405,0.610428512096405,1.7389447949834704,0,1
pair_0004,0,0.22193852066993713,0.22193852066993713,0.14928161306737434,0,1
pair_0005,0,0.4419408142566681,0.4419408142566681,0.5970033500743549,0,1
pair_0006,0,0.17770074307918549,0.337625116109848,578.9562554545896,82312,0
pair_0007,0,0.26506996154785156,0.26506996154785156,0.45252734723993354,0,1
pair_0008,0,0.5858767628669739,0.5858767628669739,0.42154596427905894,0,1
pair_0009,0,0.44114741683006287,0.44114741683006287,0.5612575166534421,0,1
pair_0010,0,0.20659735798835754,0.20659735798835754,0.4998849867719387,0,1
pair_0011,0,0.13586091995239258,0.3081311285495758,842.7354626192017,111091,0
pair_0012,0,0.15519337356090546,0.2560198903083801,505.5858210047034,41815,0
pair_0013,0,0.8718769550323486,0.8718769550323486,0.3882537829822085,0,1
pair_0014,0,0.21280363202095032,0.32498735189437866,795.07884197858,5453,0
pair_0015,0,0.8045549988746643,0.8045549988746643,0.9714000205888405,0,1
pair_0016,0,0.1318693459033966,0.3126898407936096,877.9944596920872,93722,0
pair_0017,0,0.48713985085487366,0.48713985085487366,0.13551752654180924,0,1
pair_0018,0,0.6310666799545288,0.6310666799545288,0.1408012784032844,0,1
pair_0019,0,0.19690002501010895,0.29687920212745667,238.5878572706499,30644,0
pair_0020,0,0.005102348048239946,0.07982474565505981,83.4431818724574,320565,0
pair_0021,0,0.8599128127098083,0.8599128127098083,0.07589466384404397,0,1
pair_0022,0,0.6623586416244507,0.6623586416244507,0.2080216334903354,0,1
pair_0023,0,0.2976579964160919,0.2976579964160919,0.737794009192275,0,1
pair_0024,0,0.9029375910758972,0.9029375910758972,0.3980376866579326,0,1
pair_0025,0,0.8909377455711365,0.8909377455711365,0.48811166755159385,0,1
pair_0026,0,0.21775569021701813,0.2234586477279663,630.3080303383418,18,0
pair_0027,0,0.5046859383583069,0.5046859383583069,1.3188089323325065,0,1
pair_0028,0,0.028427036479115486,0.08526644855737686,95.45995355645216,99524,0
pair_0029,0,0.22288672626018524,0.2794896066188812,576.8526927734671,15608,0
pair_0030,0,0.16522793471813202,0.23953977227210999,552.0753682695869,16069,0
pair_0031,0,0.3278645873069763,0.3278645873069763,0.3179072191693746,0,1
pair_0032,0,0.013915525749325752,0.05794645473361015,91.28135403246382,148216,0
pair_0033,0,0.328384667634964,0.328384667634964,0.5191310046606905,0,1
pair_0034,0,0.2792641818523407,0.2792641818523407,0.606590471405491,0,1
pair_0035,0,0.148792564868927,0.2627566456794739,679.5163468534072,70113,0
pair_0036,0,0.03933832049369812,0.07228372246026993,90.13951267341089,8900,0
pair_0037,0,0.14398732781410217,0.3730279803276062,438.96343941722523,119793,0
pair_0038,0,0.9018208384513855,0.9018208384513855,0.2510776772236305,0,1
pair_0039,0,0.3582417964935303,0.3582417964935303,1.0378179031024493,0,1
pair_0040,0,0.8479771018028259,0.8479771018028259,0.46846344574576254,0,1
pair_0041,0,0.32903897762298584,0.32903897762298584,0.20930360723120064,0,1
pair_0042,0,0.1997992992401123,0.1997992992401123,2.7042353817669027,0,1
pair_0043,0,0.26573652029037476,0.26573652029037476,0.6250503979679997,0,1
pair_0044,0,0.1867712289094925,0.1929018497467041,541.4163537925318,146,0
pair_0045,0,0.8744378685951233,0.8744378685951233,0.4430011286667759,0,1
pair_0046,0,0.8819913268089294,0.8819913268089294,0.6305465882867195,0,1
pair_0047,0,-0.011745145544409752,0.09749764949083328,668.7859452066857,599564,0
pair_0048,0,0.27341750264167786,0.27341750264167786,0.8767536712212382,0,1
pair_0049,0,0.3366948962211609,0.3852875232696533,157.8789469086996,1048,0
pair_0050,0,0.1907244175672531,0.25101837515830994,276.50899372895634,6353,0
pair_0051,0,0.37288710474967957,0.37288710474967957,0.42977668619876,0,1
pair_0052,0,0.0560259148478508,0.10070495307445526,42.36087085979234,13732,0
pair_0053,0,0.43985193967819214,0.43985193967819214,0.7463544734240152,0,1
pair_0054,0,0.3895597755908966,0.3895597755908966,0.7672841716078762,0,1
pair_0055,0,0.03950926288962364,0.07584153115749359,66.17026634372871,2661,0
pair_0056,0,0.8997286558151245,0.8997286558151245,0.5781297432238349,0,1
pair_0057,0,0.36931276321411133,0.36931276321411133,0.15438264151126072,0,1
pair_0058,0,0.1649221032857895,0.17703941464424133,401.3712365142774,343,0
pair_0059,0,0.3986106812953949,0.3986106812953949,0.6931846795768191,0,1
