pair_id,severity,true_peak,global_max,argmax_dist_px,pixels_above_true,true_site_is_argmax
pair_0000,0,0.09313427656888962,0.1849377304315567,648.5156786462452,47411,0
pair_0001,0,0.6591586470603943,0.6591586470603943,0.39822104414507353,0,1
pair_0002,0,0.6066799163818359,0.6066799163818359,0.34635963968107836,0,1
pair_0003,0,0.6081975698471069,0.6081975698471069,0.36013886210737284,0,1
pair_0004,0,0.24398094415664673,0.24398094415664673,2.092095600110075,0,1
pair_0005,0,0.9103866219520569,0.9103866219520569,0.4443647150708422,0,1
pair_0006,0,0.44295448064804077,0.44295448064804077,1.1649892703368818,0,1
pair_0007,0,0.2702926695346832,0.2702926695346832,0.6915497089869935,0,1
pair_0008,0,0.9267956018447876,0.9267956018447876,0.44402815226063047,0,1
pair_0009,0,0.3130333125591278,0.3130333125591278,1.423202374927756,0,1
pair_0010,0,0.03763547167181969,0.31231677532196045,845.4022300479222,308859,0
pair_0011,0,0.8829203844070435,0.8829203844070435,0.5211842284643664,0,1
pair_0012,0,0.8757362961769104,0.8757362961769104,0.5147785931835459,0,1
pair_0013,0,0.4160715341567993,0.4160715341567993,0.5318204584256048,0,1
pair_0014,0,0.2896207273006439,0.2896207273006439,0.5483885483851881,0,1
pair_0015,0,0.4979647696018219,0.4979647696018219,0.8143770625453547,0,1
pair_0016,0,0.9030811786651611,0.9030811786651611,0.46613839146761743,0,1
pair_0017,0,0.2006506770849228,0.31356289982795715,522.6481579724548,51146,0
pair_0018,0,0.6613489389419556,0.6613489389419556,0.5810215142316065,0,1
pair_0019,0,0.25713926553726196,0.25713926553726196,0.5017897966280108,0,1
pair_0020,0,0.016690993681550026,0.05806131660938263,122.42754415980089,104498,0
pair_0021,0,0.20377664268016815,0.2938942015171051,270.78575310012155,11993,0
pair_0022,0,0.9096820950508118,0.9096820950508118,0.6086788972849062,0,1
pair_0023,0,0.05940445885062218,0.2122192233800888,454.71577505514364,109397,0
pair_0024,0,0.1561780422925949,0.2789350152015686,382.60583178122096,34534,0
pair_0025,0,0.27354443073272705,0.27354443073272705,1.4829743760429521,0,1
pair_0026,0,0.8994922637939453,0.8994922637939453,0.11759676866305106,0,1
pair_0027,0,0.2060011923313141,0.2060011923313141,1.184198040869852,0,1
pair_0028,0,0.43321603536605835,0.43321603536605835,0.33804437578522484,0,1
pair_0029,0,0.19753973186016083,0.3251973092556,217.0083006569103,27713,0
pair_0030,0,0.416513592004776,0.416513592004776,0.12257650672133377,0,1
pair_0031,0,0.6252207159996033,0.6252207159996033,0.5966724394506479,0,1
pair_0032,0,0.20262226462364197,0.20262226462364197,0.2659360825461959,0,1
pair_0033,0,0.8789581060409546,0.8789581060409546,0.3291018079561392,0,1
pair_0034,0,0.010630279779434204,0.0636691004037857,90.92514393719709,237483,0
pair_0035,0,0.566921055316925,0.566921055316925,0.4591840589567464,0,1
pair_0036,0,0.914867639541626,0.914867639541626,0.05630275304103626,0,1
pair_0037,0,0.6267401576042175,0.6267401576042175,0.6611542936410467,0,1
pair_0038,0,0.32488998770713806,0.32488998770713806,1.272778456762957,0,1
pair_0039,0,0.8994584679603577,0.8994584679603577,0.8094553724573047,0,1
pair_0040,0,0.6229318380355835,0.6229318380355835,0.7587160206559875,0,1
pair_0041,0,0.3853907287120819,0.3853907287120819,0.23963513932647104,0,1
pair_0042,0,0.2918262183666229,0.3120938539505005,70.90312863336854,38,0
pair_0043,0,0.5268686413764954,0.5268686413764954,0.6413774239868653,0,1
pair_0044,0,0.3570140302181244,0.3570140302181244,0.6081924037671071,0,1
pair_0045,0,0.2096753716468811,0.25217413902282715,599.9572846278309,17206,0
pair_0046,0,0.1075272336602211,0.318043977022171,487.45586668743675,82838,0
pair_0047,0,0.427463561296463,0.427463561296463,1.5253225888316684,0,1
pair_0048,0,0.8684812188148499,0.8684812188148499,1.2615740168535399,0,1
pair_0049,0,0.3013801574707031,0.3013801574707031,0.33379334924470117,0,1
pair_0050,0,0.3098224401473999,0.3098224401473999,1.2879957298065505,0,1
pair_0051,0,0.32771652936935425,0.32771652936935425,0.38153374686912206,0,1
pair_0052,0,0.014797245152294636,0.09707857668399811,91.21961306648915,186636,0
pair_0053,0,0.8285778760910034,0.8285778760910034,0.42463749245679144,0,1
pair_0054,0,0.02357618883252144,0.07515079528093338,50.48998167953714,41852,0
pair_0055,0,0.22816604375839233,0.2785133123397827,520.7523596432377,1431,0
pair_0056,0,0.33461982011795044,0.33461982011795044,0.8702666258107558,0,1
pair_0057,0,0.10706523805856705,0.1642741709947586,387.38332318906043,45488,0
pair_0058,0,0.3305041491985321,0.3305041491985321,0.18700267377768792,0,1
pair_0059,0,-0.011975603178143501,0.0760653018951416,85.02649632320504,597403,0
pair_0060,0,0.22866548597812653,0.22866548597812653,0.5423329235811094,0,1
pair_0061,0,0.3595336377620697,0.3595336377620697,0.5885821947697587,0,1
pair_0062,0,0.4723232090473175,0.4723232090473175,0.2198044585535383,0,1
pair_0063,0,0.7666046023368835,0.7666046023368835,0.3628401852055681,0,1
pair_0064,0,0.8725444674491882,0.8725444674491882,0.5176098917138204,0,1
pair_0065,0,0.649772584438324,0.649772584438324,0.32104361074476173,0,1
pair_0066,0,0.03021431341767311,0.11751935631036758,75.67838139125332,133095,0
pair_0067,0,0.4551534354686737,0.4551534354686737,0.5294723788829666,0,1
pair_0068,0,0.8819920420646667,0.8819920420646667,0.39049711906746754,0,1
pair_0069,0,0.37005531787872314,0.37005531787872314,0.0744043009509447,0,1
pair_0070,0,0.5456464886665344,0.5456464886665344,0.5762308565149526,0,1
pair_0071,0,0.13245709240436554,0.15640957653522491,26.629118892670814,255,0
