pair_id,severity,true_peak,global_max,argmax_dist_px,pixels_above_true,true_site_is_argmax
pair_0005,4,0.36112797260284424,0.42999258637428284,495.45916420326705,712,0
pair_0008,4,0.08629441261291504,0.1451086699962616,509.8302951571239,4690,0
pair_0011,4,0.38383162021636963,0.38383162021636963,0.32457510687050134,0,1
pair_0021,4,0.5428268313407898,0.5628176331520081,503.3599272886152,24,0
pair_0024,4,0.20531561970710754,0.24553042650222778,29.671112955196026,17,0
pair_0029,4,0.18405325710773468,0.2366030514240265,92.62266582214099,1590,0
pair_0038,4,0.47812265157699585,0.47812265157699585,0.7814614513845044,0,1
pair_0046,4,0.5273773670196533,0.5273773670196533,0.17310401497364747,0,1
pair_0047,4,0.12065770477056503,0.17982853949069977,84.425605333927,1167,0
pair_0048,4,0.5750884413719177,0.5750884413719177,1.7358297727599958,0,1
pair_0053,4,0.2090902030467987,0.22663433849811554,50.483970297511235,63,0
pair_0059,4,0.5162285566329956,0.5162285566329956,1.763193693273626,0,1
pair_0063,4,0.3106094002723694,0.3598451018333435,45.967010279112145,152,0
pair_0065,4,0.15921859443187714,0.21875590085983276,597.9994069604082,962,0
pair_0066,4,0.8342982530593872,0.8342982530593872,0.6600189391222329,0,1
pair_0074,4,0.15786442160606384,0.23943324387073517,378.74462897445824,337,0
pair_0098,4,0.8265081644058228,0.8265081644058228,0.6815753810108062,0,1
pair_0103,4,0.20160366594791412,0.22449567914009094,283.24499947924943,10,0
pair_0104,4,0.1324983686208725,0.17589765787124634,60.71222668458143,509,0
pair_0111,4,0.20857058465480804,0.3239445388317108,549.446031148647,6088,0
pair_0112,4,0.7672091126441956,0.7696809768676758,4.622415169583973,6,1
pair_0119,4,0.395829975605011,0.4621264636516571,694.1060806188058,2472,0
pair_0126,4,0.11031834781169891,0.25838589668273926,70.11480851432171,11764,0
pair_0137,4,0.20190635323524475,0.4757304787635803,194.09462497452114,49701,0
pair_0146,4,0.20144429802894592,0.2520083487033844,30.92782336343761,127,0
pair_0156,4,0.26869258284568787,0.44900503754615784,265.7605597394016,46259,0
pair_0159,4,0.2856147289276123,0.323773592710495,212.00762722128653,225,0
pair_0160,4,0.9261795878410339,0.9261795878410339,0.12949517365527222,0,1
pair_0163,4,0.16979122161865234,0.2241395264863968,489.0064255211786,1192,0
pair_0191,4,0.2406875491142273,0.2669368386268616,444.5018812761089,48,0
pair_0195,4,0.3414955735206604,0.3466477692127228,4.15586356850175,1,1
pair_0196,4,0.7954720854759216,0.7954720854759216,1.322501417768642,0,1
