magnification,rotation_deg,repeat,style,gt_x,gt_y,pred_x,pred_y,err_px,est_scale,est_rotation_deg,confidence,confidence_regime,runtime_s
8.0,-5.0,0,finfet,250.092,51.558,248.576,60.736,9.3023,0.8,5.0,0.6591,residual_identified,54.395
8.0,-2.5,0,dram,965.668,411.25,240.769,445.25,725.6963,1.0875,2.0,0.5383,tie_break_convention,56.642
8.0,0.0,0,finfet,900.75,29.0,899.889,138.633,109.6367,0.8,0.0,0.5801,tie_break_convention,39.694
8.0,2.5,0,dram,460.058,908.61,458.059,907.854,2.1363,0.8075,-2.5,0.6202,tie_break_convention,33.027
8.0,5.0,0,finfet,951.665,1025.217,148.659,151.422,1186.733,1.1675,-5.0,0.5886,tie_break_convention,34.464
9.0,-5.0,0,dram,994.732,582.199,65.357,502.359,932.7981,0.9,5.0,0.6039,tie_break_convention,33.463
9.0,-2.5,0,finfet,996.269,597.151,48.354,878.42,988.7641,1.2225,1.5,0.4659,tie_break_convention,34.124
9.0,0.0,0,dram,604.167,413.722,602.979,413.164,1.3118,0.8925,0.0,0.8701,unique_peak,27.872
9.0,2.5,0,finfet,611.332,370.944,611.489,402.454,31.51,0.9,-2.5,0.6342,tie_break_convention,28.201
9.0,5.0,0,dram,939.973,818.435,938.078,818.022,1.94,0.8925,-5.0,0.9823,unique_peak,27.62
10.0,-5.0,0,finfet,891.765,128.075,891.25,127.39,0.8566,1.0,5.375,0.6197,tie_break_convention,25.434
10.0,-2.5,0,dram,134.948,811.395,165.524,812.289,30.5884,1.0,2.5,0.6119,tie_break_convention,26.263
10.0,0.0,0,finfet,593.7,875.6,591.813,875.03,1.9715,0.9925,0.0,0.9625,unique_peak,26.632
10.0,2.5,0,dram,588.698,852.846,586.744,852.389,2.0063,1.0,-2.5,0.9836,unique_peak,28.956
10.0,5.0,0,finfet,594.693,426.425,598.446,481.614,55.3158,1.0075,-5.0,0.6197,tie_break_convention,35.173
11.0,-5.0,0,dram,315.72,543.194,314.499,542.674,1.3273,1.1,5.0,0.9759,unique_peak,35.627
11.0,-2.5,0,finfet,587.203,591.595,585.611,591.316,1.6158,1.1,1.75,0.9618,unique_peak,35.494
11.0,0.0,0,dram,447.045,537.682,419.577,537.331,27.4708,1.0925,0.0,0.6053,tie_break_convention,35.793
11.0,2.5,0,finfet,557.874,794.416,556.151,793.849,1.8138,1.1,-2.875,0.975,unique_peak,40.072
11.0,5.0,0,dram,562.816,905.07,560.954,904.653,1.9083,1.1,-5.0,0.8586,unique_peak,47.835
12.0,-5.0,0,finfet,617.581,839.335,637.687,354.528,485.2229,0.8875,5.0,0.6316,residual_identified,36.437
12.0,-2.5,0,dram,329.943,200.987,329.253,200.553,0.8151,1.2,2.5,0.6157,residual_identified,34.351
12.0,0.0,0,finfet,793.333,206.75,792.585,206.339,0.8539,1.2075,0.0,0.5281,tie_break_convention,32.204
12.0,2.5,0,dram,578.309,457.105,574.466,396.452,60.775,1.1875,-2.5,0.5707,tie_break_convention,32.606
12.0,5.0,0,finfet,339.627,482.118,338.487,481.74,1.2004,1.2,-5.0,0.5088,tie_break_convention,36.81
