magnification,rotation_deg,repeat,gt_x,gt_y,e_free_px,e_oracle_px,oracle_ok
8.0,0.0,0,403.5,955.875,470.535,470.5883,0
8.0,0.0,1,578.0,1062.625,525.8852,192.9993,0
8.0,0.0,2,209.375,34.0,23.3203,23.2737,0
8.0,0.0,3,598.625,182.0,1.0752,1.1593,1
8.0,0.0,4,205.25,737.375,1.8517,1.8322,1
8.0,0.0,5,248.125,606.0,1.6859,1.68,1
8.0,-5.0,0,327.435,986.105,442.2952,450.983,0
8.0,-5.0,1,969.027,294.517,741.6869,744.269,0
8.0,-5.0,2,7.647,535.143,131.6465,399.0327,0
8.0,-5.0,3,703.298,926.638,2.0931,372.6179,0
8.0,-5.0,4,1023.381,644.21,339.5735,355.3276,0
8.0,-5.0,5,614.77,451.238,1.3725,577.6427,0
8.0,5.0,0,173.103,286.888,1.1669,157.7371,0
8.0,5.0,1,1053.31,566.362,438.8204,554.2421,0
8.0,5.0,2,555.16,171.902,1.0774,352.6603,0
8.0,5.0,3,169.923,406.872,1.3593,2.7541,1
8.0,5.0,4,1029.753,157.986,525.806,345.257,0
8.0,5.0,5,166.934,283.789,1.2676,519.6878,0
9.0,0.0,0,770.611,561.611,81.2661,1.5116,1
9.0,0.0,1,759.167,884.833,1.8407,1.8405,1
9.0,0.0,2,279.833,383.278,1.1097,1.2743,1
9.0,0.0,3,594.389,877.389,1.9481,1.9553,1
9.0,0.0,4,72.056,557.944,1.5818,1.5796,1
9.0,0.0,5,723.611,264.722,1.0808,1.0811,1
9.0,-5.0,0,246.594,263.002,1.0655,4.0944,1
9.0,-5.0,1,973.976,643.512,409.674,515.4391,0
9.0,-5.0,2,598.79,221.317,1.0601,455.9763,0
9.0,-5.0,3,225.291,367.543,27.093,1.6192,1
9.0,-5.0,4,1016.389,282.39,823.8788,344.2879,0
9.0,-5.0,5,241.673,259.337,1.0161,914.3119,0
9.0,5.0,0,892.854,513.158,1.4644,463.584,0
9.0,5.0,1,1036.148,894.007,1071.1472,655.1252,0
9.0,5.0,2,628.005,871.94,1.9472,7.5938,0
9.0,5.0,3,392.457,549.576,1.643,77.1286,0
9.0,5.0,4,839.472,31.756,79.0685,717.5904,0
9.0,5.0,5,615.959,991.779,42.6511,319.7817,0
10.0,0.0,0,287.9,935.7,2.0224,2.08,1
10.0,0.0,1,314.6,914.8,2.0331,2.0288,1
10.0,0.0,2,550.0,422.3,76.1386,1.1239,1
10.0,0.0,3,274.2,928.7,1.9717,1.9717,1
10.0,0.0,4,554.1,950.0,2.0358,2.0358,1
10.0,0.0,5,870.8,391.1,1.1847,1.1847,1
10.0,-5.0,0,846.006,573.08,1.4291,650.685,0
10.0,-5.0,1,913.491,933.031,222.166,60.1128,0
10.0,-5.0,2,555.191,849.686,1.8336,416.7416,0
10.0,-5.0,3,396.799,527.154,1.5066,0.7202,1
10.0,-5.0,4,873.927,138.058,0.8733,26.5932,0
10.0,-5.0,5,525.786,954.021,1.9966,21.9485,0
10.0,5.0,0,425.055,269.312,1.0128,51.7522,0
10.0,5.0,1,552.038,731.705,1.6618,85.8405,0
10.0,5.0,2,929.073,823.493,1.8526,5.3106,0
10.0,5.0,3,148.346,915.789,2.0176,13.6994,0
10.0,5.0,4,339.972,927.231,2.0394,2.3231,1
10.0,5.0,5,864.41,853.142,1.7957,0.8345,1
11.0,0.0,0,811.682,880.864,1.6844,1.8303,1
11.0,0.0,1,662.045,803.682,1.7398,1.7462,1
11.0,0.0,2,669.136,792.773,486.1209,486.1047,0
11.0,0.0,3,573.227,559.591,1.3606,1.36,1
11.0,0.0,4,456.591,324.955,263.0216,263.0321,0
11.0,0.0,5,198.5,561.773,1.3355,1.3369,1
11.0,-5.0,0,469.188,281.666,75.5542,91.5089,0
11.0,-5.0,1,509.88,715.682,389.634,375.3108,0
11.0,-5.0,2,832.941,857.378,1.7131,1.5503,1
11.0,-5.0,3,119.402,816.761,1.7903,765.0923,0
11.0,-5.0,4,289.155,857.256,1.8321,267.0718,0
11.0,-5.0,5,770.37,873.714,1.8488,3.8304,1
11.0,5.0,0,775.924,269.077,1.0448,1.5929,1
11.0,5.0,1,878.327,528.959,1.3389,428.8821,0
11.0,5.0,2,573.468,414.548,1.2384,101.1183,0
11.0,5.0,3,686.257,274.731,0.9371,102.3353,0
11.0,5.0,4,804.983,415.556,1.197,331.7435,0
11.0,5.0,5,319.473,926.36,22.3373,23.6615,0
12.0,0.0,0,834.5,814.833,1.8709,1.7069,1
12.0,0.0,1,329.583,211.167,445.3524,0.9666,1
12.0,0.0,2,185.333,552.25,70.2983,70.2847,0
12.0,0.0,3,551.917,283.833,0.9823,0.9932,1
12.0,0.0,4,308.417,299.5,0.9973,0.9981,1
12.0,0.0,5,535.75,562.0,0.9796,1.3314,1
12.0,-5.0,0,785.717,335.488,1.0391,5.3221,0
12.0,-5.0,1,836.793,586.394,1.4751,241.979,0
12.0,-5.0,2,579.797,434.585,393.4535,426.8171,0
12.0,-5.0,3,703.871,326.32,29.1473,403.4674,0
12.0,-5.0,4,788.634,472.346,53.2818,139.0962,0
12.0,-5.0,5,269.036,856.188,1.6893,63.3545,0
12.0,5.0,0,541.062,673.373,362.3758,362.2867,0
12.0,5.0,1,354.74,715.104,39.4501,526.7948,0
12.0,5.0,2,415.666,592.076,318.3451,536.3957,0
12.0,5.0,3,881.724,765.533,1.6882,255.8828,0
12.0,5.0,4,689.323,566.628,1.6306,118.7434,0
12.0,5.0,5,333.897,554.309,1.428,541.1182,0
