magnification,rotation_deg,repeat,gt_x,gt_y,e_free_px,e_oracle_px,oracle_ok
8.0,0.0,0,403.5,955.875,470.5348,470.8332,0
8.0,0.0,1,578.0,1062.625,193.0018,193.0018,0
8.0,0.0,2,209.375,34.0,23.3191,23.2771,0
8.0,0.0,3,598.625,182.0,1.0708,1.1616,1
8.0,0.0,4,205.25,737.375,1.84,1.84,1
8.0,0.0,5,248.125,606.0,1.6823,1.6823,1
8.0,-5.0,0,327.435,986.105,442.2951,418.7455,0
8.0,-5.0,1,969.027,294.517,741.6922,744.1528,0
8.0,-5.0,2,7.647,535.143,131.6515,398.7881,0
8.0,-5.0,3,703.298,926.638,2.0921,481.1358,0
8.0,-5.0,4,1023.381,644.21,339.5737,354.9788,0
8.0,-5.0,5,614.77,451.238,1.3743,495.7136,0
8.0,5.0,0,173.103,286.888,1.1675,172.3165,0
8.0,5.0,1,1053.31,566.362,438.8207,389.3593,0
8.0,5.0,2,555.16,171.902,1.0812,352.6858,0
8.0,5.0,3,169.923,406.872,1.3599,3.5422,1
8.0,5.0,4,1029.753,157.986,525.8051,348.4624,0
8.0,5.0,5,166.934,283.789,1.2689,520.1891,0
9.0,0.0,0,770.611,561.611,81.2662,81.2662,0
9.0,0.0,1,759.167,884.833,1.8406,1.8406,1
9.0,0.0,2,279.833,383.278,1.1121,1.2258,1
9.0,0.0,3,594.389,877.389,1.95,1.95,1
9.0,0.0,4,72.056,557.944,1.5812,1.5812,1
9.0,0.0,5,723.611,264.722,1.081,1.081,1
9.0,-5.0,0,246.594,263.002,1.0658,4.5349,1
9.0,-5.0,1,973.976,643.512,409.6743,516.0225,0
9.0,-5.0,2,598.79,221.317,1.0602,455.6618,0
9.0,-5.0,3,225.291,367.543,27.0927,1.8985,1
9.0,-5.0,4,1016.389,282.39,823.871,335.2375,0
9.0,-5.0,5,241.673,259.337,1.017,4.3963,1
9.0,5.0,0,892.854,513.158,1.4643,452.2569,0
9.0,5.0,1,1036.148,894.007,1071.1468,664.7321,0
9.0,5.0,2,628.005,871.94,1.9464,7.5038,0
9.0,5.0,3,392.457,549.576,1.6421,3.4785,1
9.0,5.0,4,839.472,31.756,79.0692,728.4776,0
9.0,5.0,5,615.959,991.779,42.6508,67.9814,0
10.0,0.0,0,287.9,935.7,2.0224,2.0224,1
10.0,0.0,1,314.6,914.8,2.0331,2.0331,1
10.0,0.0,2,550.0,422.3,76.1386,76.1386,0
10.0,0.0,3,274.2,928.7,1.9717,1.9717,1
10.0,0.0,4,554.1,950.0,2.0358,2.0358,1
10.0,0.0,5,870.8,391.1,1.1847,1.1847,1
10.0,-5.0,0,846.006,573.08,1.4291,3.2883,1
10.0,-5.0,1,913.491,933.031,222.1676,3.2182,1
10.0,-5.0,2,555.191,849.686,1.8337,650.4349,0
10.0,-5.0,3,396.799,527.154,1.5066,0.5666,1
10.0,-5.0,4,873.927,138.058,0.8733,134.1346,0
10.0,-5.0,5,525.786,954.021,1.9965,9.6257,0
10.0,5.0,0,425.055,269.312,1.0128,46.5959,0
10.0,5.0,1,552.038,731.705,1.6618,132.2128,0
10.0,5.0,2,929.073,823.493,1.8526,5.0607,0
10.0,5.0,3,148.346,915.789,2.0176,13.9407,0
10.0,5.0,4,339.972,927.231,2.0394,2.5477,1
10.0,5.0,5,864.41,853.142,1.7958,0.9797,1
11.0,0.0,0,811.682,880.864,1.6845,1.8218,1
11.0,0.0,1,662.045,803.682,1.7392,1.7415,1
11.0,0.0,2,669.136,792.773,486.121,486.0899,0
11.0,0.0,3,573.227,559.591,1.3608,1.3608,1
11.0,0.0,4,456.591,324.955,263.0218,1.0884,1
11.0,0.0,5,198.5,561.773,1.3351,1.3351,1
11.0,-5.0,0,469.188,281.666,34.4088,729.141,0
11.0,-5.0,1,509.88,715.682,389.6324,374.8236,0
11.0,-5.0,2,832.941,857.378,1.7132,1.9315,1
11.0,-5.0,3,119.402,816.761,1.7902,764.8798,0
11.0,-5.0,4,289.155,857.256,1.8317,280.9939,0
11.0,-5.0,5,770.37,873.714,1.845,4.2987,1
11.0,5.0,0,775.924,269.077,1.0449,23.9195,0
11.0,5.0,1,878.327,528.959,1.3394,436.7232,0
11.0,5.0,2,573.468,414.548,1.2385,90.2059,0
11.0,5.0,3,686.257,274.731,0.9376,102.406,0
11.0,5.0,4,804.983,415.556,1.1986,332.0894,0
11.0,5.0,5,319.473,926.36,22.3388,24.1619,0
12.0,0.0,0,834.5,814.833,1.8726,1.7149,1
12.0,0.0,1,329.583,211.167,445.3524,0.8645,1
12.0,0.0,2,185.333,552.25,70.2984,70.2984,0
12.0,0.0,3,551.917,283.833,0.9786,0.9786,1
12.0,0.0,4,308.417,299.5,0.9955,0.9889,1
12.0,0.0,5,535.75,562.0,0.9826,1.3381,1
12.0,-5.0,0,785.717,335.488,1.0392,5.504,0
12.0,-5.0,1,836.793,586.394,1.4759,242.2447,0
12.0,-5.0,2,579.797,434.585,393.4558,426.4615,0
12.0,-5.0,3,703.871,326.32,29.1454,403.3508,0
12.0,-5.0,4,788.634,472.346,53.2835,515.6417,0
12.0,-5.0,5,269.036,856.188,1.6914,62.9108,0
12.0,5.0,0,541.062,673.373,362.376,362.2109,0
12.0,5.0,1,354.74,715.104,39.4499,526.6791,0
12.0,5.0,2,415.666,592.076,318.3442,536.8497,0
12.0,5.0,3,881.724,765.533,1.6881,260.4201,0
12.0,5.0,4,689.323,566.628,1.629,118.309,0
12.0,5.0,5,333.897,554.309,1.4263,368.0886,0
