config,dataset,n,median_px,mean_px,worst_px,mean_runtime_s,wide_grid_used,within_1.0px_pct,within_2.0px_pct,within_4.0px_pct,within_5.0px_pct,within_10.0px_pct
k12,physics40,40,0.126,3.14,51.5,6.93,2,90.0,90.0,90.0,90.0,90.0
k12,stress30,30,4.134,202.0,723.6,6.28,22,43.3,46.7,50.0,53.3,53.3
k12,spec40,40,18.826,154.1,825.6,6.2,31,32.5,40.0,42.5,42.5,47.5
k12,amat40,40,2.853,49.25,532.5,6.37,1,20.0,40.0,60.0,60.0,65.0
k24,physics40,40,0.126,3.14,51.5,6.64,2,90.0,90.0,90.0,90.0,90.0
k24,stress30,30,4.134,202.0,723.6,6.98,22,43.3,46.7,50.0,53.3,53.3
k24,spec40,40,18.826,154.1,825.6,7.12,31,32.5,40.0,42.5,42.5,47.5
k24,amat40,40,2.853,49.25,532.5,6.94,1,20.0,40.0,60.0,60.0,65.0
